featureId,existingLocation,destination,requirement,ownership,invariants,implementation,areaValidation
F04.04,Setup > Model providers,providers,Select existing or add provider,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.05,Setup > Model providers,providers,Provider instance name,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.06,Setup > Model providers,providers,"Global, project and private workspace scopes",Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.07,Setup > Model providers,providers,Existing provider presets and custom provider module,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.08,Setup > Model providers,providers,Environment-variable credential mode and variable name,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.09,Setup > Model providers,providers,"Check variable; availability, default and alternative variable metadata",Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.10,Setup > Model providers,providers,Private saved-key input; blank preserves key,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.11,Setup > Model providers,providers,Account sign-in provider path,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.12,Setup > Model providers,providers,"Default model catalog; loading, no-catalog and manual entry fallback",Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.13,Setup > Model providers,providers,Model filtering when catalogs are large,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.14,Setup > Model providers,providers,Refresh models,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.15,Setup > Model providers,providers,Test saved connection and distinguish catalog test from chat request,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.16,Setup > Model providers,providers,Start provider sign-in,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.17,Setup > Model providers,providers,Open secure sign-in link,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.18,Setup > Model providers,providers,Check sign-in status,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.19,Setup > Model providers,providers,Cancel sign-in,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.20,Setup > Model providers,providers,Provider-declared option fields and show-when conditions,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.21,Setup > Model providers,providers,Saved nonstandard option values,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.22,Setup > Model providers,providers,Retry failed option loading,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.23,Setup > Model providers,providers,Advanced module source with location picker,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.24,Setup > Model providers,providers,Advanced configuration JSON and credential rejection,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.25,Setup > Model providers,providers,Save provider,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.26,Setup > Model providers,providers,Remove provider,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.27,Setup > Model providers,providers,Use selected model in this conversation,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F05.01,Setup > Model routing,routing,"Refresh, filter and clear profile list",Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.02,Setup > Model routing,routing,Active profile indicator,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.03,Setup > Model routing,routing,Edit existing profile,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.04,Setup > Model routing,routing,Activate another profile,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.05,Setup > Model routing,routing,New profile,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.06,Setup > Model routing,routing,Profile name and save scope,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.07,Setup > Model routing,routing,All declared role names and descriptions,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.08,Setup > Model routing,routing,Provider and model per candidate,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.09,Setup > Model routing,routing,Model catalog and manual fallback,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.10,Setup > Model routing,routing,Add fallback candidate,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.11,Setup > Model routing,routing,"Reorder candidates by drag, arrows or keyboard",Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.12,Setup > Model routing,routing,Remove candidates,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.13,Setup > Model routing,routing,Add custom role,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.14,Setup > Model routing,routing,Remove optional role,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.15,Setup > Model routing,routing,Full profile JSON editor,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.16,Setup > Model routing,routing,Validate JSON into draft,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F05.17,Setup > Model routing,routing,Save active profile or save and activate new profile,Unified routing integration,General and fast roles required; Each role retains at least one complete provider/model candidate; Candidate order carries meaning; Unknown roles and advanced candidate configuration preserved; Activation applies to future preparation,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions
F06.01,Capabilities > App bundles,app-bundles,List app additions and registered standalone aliases,Unified bundle composition,Composition order preserved; Standalone alias is distinct from composed behavior; Registered sources do not establish live loaded modules,"Existing native form, action and behavior retained; navigation relocated",bundle-browser; settings-browser
F06.02,Capabilities > App bundles,app-bundles,Show role and source URI,Unified bundle composition,Composition order preserved; Standalone alias is distinct from composed behavior; Registered sources do not establish live loaded modules,"Existing native form, action and behavior retained; navigation relocated",bundle-browser; settings-browser
F06.03,Capabilities > App bundles,app-bundles,Refresh,Unified bundle composition,Composition order preserved; Standalone alias is distinct from composed behavior; Registered sources do not establish live loaded modules,"Existing native form, action and behavior retained; navigation relocated",bundle-browser; settings-browser
F06.04,Capabilities > App bundles,app-bundles,Filter and clear list,Unified bundle composition,Composition order preserved; Standalone alias is distinct from composed behavior; Registered sources do not establish live loaded modules,"Existing native form, action and behavior retained; navigation relocated",bundle-browser; settings-browser
F06.05,Capabilities > App bundles,app-bundles,Enable or disable entries,Unified bundle composition,Composition order preserved; Standalone alias is distinct from composed behavior; Registered sources do not establish live loaded modules,"Existing native form, action and behavior retained; navigation relocated",bundle-browser; settings-browser
F06.06,Capabilities > App bundles,app-bundles,"Reorder composition by drag, keyboard or arrows",Unified bundle composition,Composition order preserved; Standalone alias is distinct from composed behavior; Registered sources do not establish live loaded modules,"Existing native form, action and behavior retained; navigation relocated",bundle-browser; settings-browser
F06.07,Capabilities > App bundles,app-bundles,Remove entry,Unified bundle composition,Composition order preserved; Standalone alias is distinct from composed behavior; Registered sources do not establish live loaded modules,"Existing native form, action and behavior retained; navigation relocated",bundle-browser; settings-browser
F07.01,Capabilities > Add capabilities,add-bundles,Repository or bundle URL,Unified generic bundle discovery,Discovery inspects source metadata without executing it; Kind is a suggestion; user can choose role; No product-specific settings inferred from bundle contents,"Existing native form, action and behavior retained; navigation relocated",settings-browser
F07.02,Capabilities > Add capabilities,add-bundles,Browse source,Unified generic bundle discovery,Discovery inspects source metadata without executing it; Kind is a suggestion; user can choose role; No product-specific settings inferred from bundle contents,"Existing native form, action and behavior retained; navigation relocated",settings-browser
F07.03,Capabilities > Add capabilities,add-bundles,Progress and failure states,Unified generic bundle discovery,Discovery inspects source metadata without executing it; Kind is a suggestion; user can choose role; No product-specific settings inferred from bundle contents,"Existing native form, action and behavior retained; navigation relocated",settings-browser
F07.04,Capabilities > Add capabilities,add-bundles,Discovered count and revision,Unified generic bundle discovery,Discovery inspects source metadata without executing it; Kind is a suggestion; user can choose role; No product-specific settings inferred from bundle contents,"Existing native form, action and behavior retained; navigation relocated",settings-browser
F07.05,Capabilities > Add capabilities,add-bundles,Filter discovered candidates,Unified generic bundle discovery,Discovery inspects source metadata without executing it; Kind is a suggestion; user can choose role; No product-specific settings inferred from bundle contents,"Existing native form, action and behavior retained; navigation relocated",settings-browser
F07.06,Capabilities > Add capabilities,add-bundles,"Candidate name, path, description and kind",Unified generic bundle discovery,Discovery inspects source metadata without executing it; Kind is a suggestion; user can choose role; No product-specific settings inferred from bundle contents,"Existing native form, action and behavior retained; navigation relocated",settings-browser
F07.07,Capabilities > Add capabilities,add-bundles,Select candidate,Unified generic bundle discovery,Discovery inspects source metadata without executing it; Kind is a suggestion; user can choose role; No product-specific settings inferred from bundle contents,"Existing native form, action and behavior retained; navigation relocated",settings-browser
F07.08,Capabilities > Add capabilities,add-bundles,Choose composed capability or standalone alias,Unified generic bundle discovery,Discovery inspects source metadata without executing it; Kind is a suggestion; user can choose role; No product-specific settings inferred from bundle contents,"Existing native form, action and behavior retained; navigation relocated",settings-browser
F07.09,Capabilities > Add capabilities,add-bundles,Display name or required standalone alias,Unified generic bundle discovery,Discovery inspects source metadata without executing it; Kind is a suggestion; user can choose role; No product-specific settings inferred from bundle contents,"Existing native form, action and behavior retained; navigation relocated",settings-browser
F07.10,Capabilities > Add capabilities,add-bundles,Add capability or register bundle,Unified generic bundle discovery,Discovery inspects source metadata without executing it; Kind is a suggestion; user can choose role; No product-specific settings inferred from bundle contents,"Existing native form, action and behavior retained; navigation relocated",settings-browser
F08.01,Setup > Conversation defaults > Bundle,defaults,"App, private workspace and shared Amplifier scopes",Unified defaults,"Workspace beats app, then shared default; Clearing an override preserves inherited values; Existing conversations keep their own bundle","Existing native form, action and behavior retained; navigation relocated",bundle-browser
F08.02,Setup > Conversation defaults > Bundle,defaults,Registered bundle picker,Unified defaults,"Workspace beats app, then shared default; Clearing an override preserves inherited values; Existing conversations keep their own bundle","Existing native form, action and behavior retained; navigation relocated",bundle-browser
F08.03,Setup > Conversation defaults > Bundle,defaults,Bundle description,Unified defaults,"Workspace beats app, then shared default; Clearing an override preserves inherited values; Existing conversations keep their own bundle","Existing native form, action and behavior retained; navigation relocated",bundle-browser
F08.04,Setup > Conversation defaults > Bundle,defaults,Custom source or file input,Unified defaults,"Workspace beats app, then shared default; Clearing an override preserves inherited values; Existing conversations keep their own bundle","Existing native form, action and behavior retained; navigation relocated",bundle-browser
F08.05,Setup > Conversation defaults > Bundle,defaults,Browse location,Unified defaults,"Workspace beats app, then shared default; Clearing an override preserves inherited values; Existing conversations keep their own bundle","Existing native form, action and behavior retained; navigation relocated",bundle-browser
F08.06,Setup > Conversation defaults > Bundle,defaults,Save default,Unified defaults,"Workspace beats app, then shared default; Clearing an override preserves inherited values; Existing conversations keep their own bundle","Existing native form, action and behavior retained; navigation relocated",bundle-browser
F08.07,Setup > Conversation defaults > Bundle,defaults,Use inherited default,Unified defaults,"Workspace beats app, then shared default; Clearing an override preserves inherited values; Existing conversations keep their own bundle","Existing native form, action and behavior retained; navigation relocated",bundle-browser
F08.08,Setup > Conversation defaults > Bundle,defaults,Effective bundle and source explanation,Unified defaults,"Workspace beats app, then shared default; Clearing an override preserves inherited values; Existing conversations keep their own bundle","Existing native form, action and behavior retained; navigation relocated",bundle-browser
F08.09,Setup > Conversation defaults > Bundle,defaults,Workspace inherited-project default,Unified defaults,"Workspace beats app, then shared default; Clearing an override preserves inherited values; Existing conversations keep their own bundle","Existing native form, action and behavior retained; navigation relocated",bundle-browser
F09.01,Setup / Capabilities > Loaded session modules,loaded-modules,No-conversation state,Generic mounted-module contract,Do not disable required context or orchestrator; At least one provider required by backend; Queued edits preserve conversation history; Keep raw plan fields not represented by ordinary controls; No arbitrary module-specific pages,"Existing native form, action and behavior retained; navigation relocated",settings-browser; test_management.py; test_shared_runtime_config.py
F09.02,Setup / Capabilities > Loaded session modules,loaded-modules,Load or refresh composed mount plan,Generic mounted-module contract,Do not disable required context or orchestrator; At least one provider required by backend; Queued edits preserve conversation history; Keep raw plan fields not represented by ordinary controls; No arbitrary module-specific pages,"Existing native form, action and behavior retained; navigation relocated",settings-browser; test_management.py; test_shared_runtime_config.py
F09.03,Setup / Capabilities > Loaded session modules,loaded-modules,Current root bundle,Generic mounted-module contract,Do not disable required context or orchestrator; At least one provider required by backend; Queued edits preserve conversation history; Keep raw plan fields not represented by ordinary controls; No arbitrary module-specific pages,"Existing native form, action and behavior retained; navigation relocated",settings-browser; test_management.py; test_shared_runtime_config.py
F09.04,Setup / Capabilities > Loaded session modules,loaded-modules,Filter modules,Generic mounted-module contract,Do not disable required context or orchestrator; At least one provider required by backend; Queued edits preserve conversation history; Keep raw plan fields not represented by ordinary controls; No arbitrary module-specific pages,"Existing native form, action and behavior retained; navigation relocated",settings-browser; test_management.py; test_shared_runtime_config.py
